,일시,품목,소매일일가격,평균기온(°C),최저기온(°C),최고기온(°C),최소 상대습도(%),평균 상대습도(%),최대 풍속(m/s),평균 풍속(m/s),합계 일사량(MJ/m2),합계 일조시간(hr),평균 지면온도(°C)
0,1996-01-28,무,1013,0.5082191780821917,-4.715068493150685,6.705479452054795,47.205479452054796,73.01095890410959,5.338356164383561,1.8589041095890408,5.811428571428571,2.236986301369863,0.2736111111111111
1,1996-01-29,무,1004,1.2424657534246575,-3.0767123287671234,5.852054794520548,28.123287671232877,56.42054794520548,6.601369863013699,2.834246575342466,9.907619047619047,6.824657534246575,1.0083333333333333
2,1996-01-30,무,1004,-2.9205479452054792,-6.5630136986301375,0.7301369863013698,29.328767123287673,41.631506849315066,7.454794520547946,3.6630136986301367,11.085714285714285,7.691780821917808,-1.1416666666666666
3,1996-01-31,무,996,-4.189041095890411,-9.082191780821917,1.3616438356164384,35.9041095890411,57.79178082191781,7.328767123287672,3.043835616438356,9.077142857142857,6.205479452054795,-1.9833333333333332
4,1996-02-01,무,967,-5.6589041095890416,-9.247945205479452,-1.4356164383561643,40.657534246575345,59.97945205479452,7.998630136986301,4.128767123287671,10.28047619047619,6.827397260273973,-2.326388888888889
5,1996-02-02,무,983,-7.094520547945205,-11.742465753424659,-1.7876712328767124,37.24657534246575,53.652054794520545,7.116438356164384,3.533333333333333,11.571904761904761,8.250684931506848,-3.2930555555555556
6,1996-02-03,무,983,-3.63972602739726,-9.695890410958903,3.4356164383561647,38.054794520547944,61.77671232876712,5.572602739726028,2.471232876712329,11.444285714285716,8.143835616438356,-1.4347222222222222
7,1996-02-04,무,983,-0.32191780821917804,-5.997260273972603,5.491780821917808,51.52054794520548,73.13835616438355,4.8054794520547945,1.7972602739726027,6.0442857142857145,2.8260273972602743,0.16056338028169018
8,1996-02-05,무,979,-2.6164383561643834,-6.612328767123287,2.328767123287671,37.36986301369863,57.845205479452055,8.772602739726027,4.898630136986302,11.194285714285716,7.171232876712328,-0.4347222222222223
9,1996-02-06,무,992,-5.145205479452055,-9.901369863013699,0.41917808219178077,36.84931506849315,58.080821917808215,5.616438356164384,2.6342465753424658,11.692380952380953,8.073972602739726,-1.8083333333333336
10,1996-02-07,무,1000,-3.8506849315068497,-10.702739726027396,3.8452054794520545,39.465753424657535,65.21917808219177,3.9698630136986304,1.4616438356164383,8.927142857142858,5.212328767123288,-1.2777777777777777
11,1996-02-08,무,1004,-0.9753424657534246,-4.745205479452054,3.8904109589041096,47.917808219178085,68.86438356164383,5.671232876712328,2.2027397260273975,5.956666666666667,1.9095890410958904,-0.04861111111111112
12,1996-02-09,무,1017,-3.823287671232877,-7.03972602739726,-0.6589041095890411,45.63013698630137,63.845205479452055,7.104109589041096,3.7375000000000003,8.40952380952381,4.47945205479452,-1.515277777777778
13,1996-02-10,무,1017,-3.9410958904109585,-8.853424657534246,1.5356164383561643,35.89041095890411,59.624657534246566,6.123287671232877,2.926027397260274,12.50095238095238,8.505479452054795,-1.2347222222222223
14,1996-02-11,무,1017,-0.8945205479452054,-8.957534246575342,6.941095890410959,43.45205479452055,65.36712328767123,5.73013698630137,2.3819444444444446,10.527142857142858,6.463013698630137,0.49583333333333335
15,1996-02-12,무,1067,6.5479452054794525,0.3780821917808219,14.336986301369862,40.63013698630137,68.113698630137,5.550684931506849,2.410958904109589,10.958095238095238,7.697260273972603,5.3180555555555555
16,1996-02-13,무,1092,9.153424657534247,2.9753424657534246,17.275342465753422,45.47945205479452,69.95753424657534,5.53013698630137,1.9931506849315068,9.084761904761905,6.3,7.019444444444444
17,1996-02-14,무,1088,8.038356164383561,1.726027397260274,16.75068493150685,43.342465753424655,72.78630136986301,4.580821917808219,1.6232876712328768,7.6519047619047615,4.195890410958905,6.334722222222222
18,1996-03-05,무,1196,1.6232876712328768,-4.553424657534246,9.027397260273972,29.945205479452056,61.04246575342465,4.1589041095890416,1.610958904109589,15.62047619047619,9.03013698630137,4.690277777777777
19,1996-03-06,무,1213,4.228767123287671,-3.997260273972603,12.268493150684932,38.465753424657535,63.45205479452055,4.808219178082192,1.9328767123287671,10.629523809523809,5.5479452054794525,5.4430555555555555
